packet_size,latency,jitter,throughput,connection_duration,label
514.901425,0.77502,2.280811,106.776942,228.730165,0.0
495.852071,0.217442,1.457898,92.062397,79.010885,0.0
519.430656,0.149032,3.753003,120.817071,34.818577,0.0
545.690896,0.198041,0.439706,85.248781,11.598537,0.0
492.975399,1.748712,2.598241,74.03616,110.208688,0.0
492.975891,0.106089,-0.830447,116.246424,32.911094,0.0
547.376384,0.82174,0.995396,91.876755,185.765843,0.0
523.023042,2.798352,1.684299,93.66958,92.917619,0.0
485.915768,0.697267,4.645086,87.461187,195.813451,0.0
516.276801,2.881992,4.032162,90.543652,83.621651,0.0
486.097469,2.73665,2.169098,128.060669,147.72803,0.0
486.028107,0.564267,4.094055,133.249975,34.857236,0.0
507.258868,2.609961,4.331434,135.899573,69.928355,0.0
442.601593,2.75488,2.759003,121.802412,1.959715,0.0
448.252465,1.013182,0.923433,109.325425,93.606431,0.0
483.131374,0.472509,2.688132,71.354288,76.301046,0.0
469.615066,1.47324,2.853161,96.249506,140.765007,0.0
509.42742,5.086706,1.151318,143.13509,130.547398,0.0
472.759278,2.041174,3.55057,91.287568,98.783239,0.0
457.630889,0.379714,3.419718,130.282889,5.835545,0.0
543.969463,2.296174,3.667564,101.100716,233.314438,0.0
493.226711,1.114448,3.418385,46.437152,1.818351,0.0
502.025846,1.790668,4.094765,112.809711,162.591116,0.0
457.257554,2.648999,2.731008,125.325094,65.267024,0.0
483.668518,1.446996,3.302678,99.020081,170.371322,0.0
503.327678,3.363845,2.40339,124.66102,62.561915,0.0
465.470193,2.561388,2.123251,66.64345,104.111105,0.0
511.270941,1.909405,5.007374,72.288715,45.140252,0.0
481.980839,0.326904,-0.065653,104.097286,136.132368,0.0
491.249188,3.615157,4.31514,109.542295,29.326587,0.0
481.948802,5.494796,2.069189,127.131577,127.0668,0.0
555.568346,0.2946,1.874943,112.778489,21.490589,0.0
499.595083,1.339803,3.392366,76.127418,128.073753,0.0
468.268672,0.599209,0.765586,104.260912,34.767458,0.0
524.676347,2.809107,1.775965,112.014549,32.660555,0.0
463.374691,2.557606,1.726291,62.51532,166.862511,0.0
506.265908,0.303705,2.667903,99.127331,168.035748,0.0
441.209896,4.191585,1.793793,93.288349,117.571702,0.0
460.154419,0.399277,5.401678,86.906139,257.582043,0.0
505.905837,3.191652,5.695525,109.975541,16.983231,0.0
522.153997,1.22122,-0.03299,77.006369,31.378148,0.0
505.141048,0.795804,3.816484,108.33759,34.815999,0.0
496.530552,0.344519,4.287995,111.189823,36.425551,0.0
490.966889,0.366919,3.814478,121.675266,39.754453,0.0
455.64434,2.168771,2.01283,77.531615,119.405276,0.0
478.404674,1.598929,2.633857,69.895316,31.574984,0.0
486.180837,0.260412,1.877588,105.578072,33.67633,0.0
531.713667,0.239139,2.369604,94.274575,84.493468,0.0
510.308549,0.150117,1.185052,158.053005,21.487639,0.0
447.108795,2.723339,2.827817,109.16997,45.395314,0.0
509.722519,2.488771,0.745797,101.163234,5.968672,0.0
488.447532,0.120415,2.699798,96.543441,304.801781,0.0
479.69234,1.643189,1.127127,75.638763,38.1711,0.0
518.350289,0.176955,3.310225,111.277631,189.740091,0.0
530.929986,4.681525,1.980871,98.417099,75.490683,0.0
527.938404,4.752838,3.435871,98.433726,25.904558,0.0
474.823474,2.3962,4.622371,101.888867,21.496158,0.0
490.723629,5.212493,5.38417,104.424251,118.731481,0.0
509.937903,3.336816,-0.792007,65.214887,334.866587,0.0
609.178481,33.905659,6.922616,53.265418,138.010758,1.0
485.624773,1.686582,2.545371,83.071113,12.26437,0.0
494.430231,0.730737,3.690492,97.239356,48.955242,0.0
466.809951,0.491287,0.524468,125.718098,50.056271,0.0
464.113801,0.792614,1.526861,135.588972,164.120196,0.0
524.375775,1.980388,3.195536,65.990111,63.278479,0.0
540.687201,0.379071,3.127332,100.604897,6.449712,0.0
497.839696,0.598539,3.566428,105.458264,253.410981,0.0
530.105987,1.262452,3.665514,69.849399,46.710845,0.0
510.849081,0.530668,3.507892,116.051827,110.422319,0.0
480.646407,1.776591,3.290483,102.325254,110.108015,0.0
510.841868,5.132477,3.08361,103.883192,5.799155,0.0
546.141097,2.757362,3.997145,81.648942,0.361117,0.0
305.416717,14.029597,-1.22801,17.708616,47.640012,1.0
546.93931,1.748003,5.3165,116.764479,313.57103,0.0
421.407647,1.338658,-0.306723,102.545958,157.984488,0.0
524.657075,0.412976,1.381257,89.721282,14.157771,0.0
502.611412,4.502082,2.659859,91.278614,95.417399,0.0
491.029779,0.571464,4.008919,104.407914,94.668229,0.0
502.752823,0.1915,-1.4929,100.975948,0.055925,0.0
440.372933,2.77271,2.957814,118.096442,56.047863,0.0
493.409843,0.386237,4.188593,90.394834,124.401549,0.0
510.713377,0.930099,4.491777,75.632388,20.67694,0.0
544.336821,0.057385,1.954006,107.187722,190.316376,0.0
484.451893,0.294839,2.548747,90.449403,107.970681,0.0
475.745192,0.380394,2.075778,115.673639,0.694838,0.0
484.947289,0.111893,2.410988,100.150773,193.042985,0.0
527.462064,2.13805,1.45226,113.096264,1.959068,0.0
509.862533,3.628106,1.666122,79.713659,218.862093,0.0
484.107194,0.934624,3.651565,102.867725,40.604356,0.0
515.398023,4.152118,3.197423,86.014736,119.948375,0.0
502.912326,0.479935,3.73738,75.592527,154.848849,0.0
529.05935,0.787242,3.321022,82.777842,33.026787,0.0
478.938407,0.326773,4.056508,89.110458,44.07351,0.0
490.170136,1.938113,4.317321,124.893891,71.241511,0.0
488.236755,1.089005,0.387425,88.581192,87.39296,0.0
456.094552,1.900126,1.718536,74.569195,34.537038,0.0
508.883608,2.868239,2.652936,102.629548,487.899785,0.0
507.831658,1.578008,2.965984,100.583613,133.561902,0.0
500.153404,1.975736,1.994864,90.15894,32.041467,0.0
492.962386,5.474453,4.368036,96.775531,102.28525,0.0
457.538878,0.710678,5.969923,119.524542,57.158676,0.0
487.38064,0.889963,3.279243,113.414115,196.846485,0.0
489.718565,2.529594,3.126512,111.684604,39.891173,0.0
475.931682,1.889923,4.274184,76.326424,20.807514,0.0
495.161429,0.393327,0.20124,157.730961,4.723445,0.0
509.880989,7.831237,11.916828,18.452616,3274.64808,1.0
556.585577,1.261615,4.468554,110.340571,44.507171,0.0
505.237334,1.087351,2.035269,76.713765,24.912628,0.0
507.726512,0.392699,1.160159,118.954602,67.681817,0.0
497.766623,5.165394,2.721292,89.97743,34.480188,0.0
442.436864,2.87365,2.908972,96.114584,26.513815,0.0
